Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,21.895238095238096,0.23074262,1.1894837155168871,1.1894837155168871,1.0
24000,1.4107445,23.945833333333333,0.1510798,1.3892115755199892,1.3892115755199892,1.0
36000,1.4011388,27.646778042959426,0.2028929,1.7689736717356133,1.7689736717356133,1.0
48000,1.3931423,35.77981651376147,0.36456868,2.5666666453766895,2.5666666453766895,1.0
60000,1.3698502,52.433035714285715,0.6417457,4.200893197740827,4.200893197740827,1.0
72000,1.3504516,96.48387096774194,1.0222417,8.644716792959509,8.644716792959509,1.0
84000,1.3362591,215.63636363636363,1.4071906,20.02321751628603,20.02321751628603,1.0
96000,1.3321749,290.22727272727275,1.6053108,26.602276452563025,26.602276452563025,1.0
108000,1.3176721,610.8947368421053,2.1274588,60.43685107482107,60.43685107482107,1.0
120000,1.3153045,999.0,2.8730252,100.00001525878906,100.00001525878906,1.0
132000,1.3079231,946.8461538461538,3.4293466,94.5307846069336,94.5307846069336,1.0
144000,1.3010886,999.0,3.9567401,100.00001525878906,100.00001525878906,1.0
156000,1.2972411,999.0,4.4970727,100.00001525878906,100.00001525878906,1.0
168000,1.2929784,999.0,4.9437237,100.00001525878906,100.00001525878906,1.0
180000,1.2896978,999.0,5.4036317,100.00001525878906,100.00001525878906,1.0
192000,1.2874861,999.0,5.8051,100.00001525878906,100.00001525878906,1.0
204000,1.2800237,943.1666666666666,6.0948377,94.32501443227132,94.32501443227132,1.0
216000,1.2740185,999.0,6.434424,100.00001525878906,100.00001525878906,1.0
228000,1.2741958,980.8461538461538,6.6931906,98.10001490666316,98.10001490666316,1.0
240000,1.2747504,876.4615384615385,6.9990077,87.5769362449646,87.5769362449646,1.0
252000,1.2758794,955.7692307692307,7.3334002,95.5923224229079,95.5923224229079,1.0
264000,1.2799803,989.0833333333334,7.610842,98.91668192545573,98.91668192545573,1.0
276000,1.2802739,921.2307692307693,7.686925,92.05386046262888,92.05386046262888,1.0
288000,1.2821071,876.0714285714286,7.848971,87.47144198417664,87.47144198417664,1.0
300000,1.2854997,999.0,8.255851,100.00001525878906,100.00001525878906,1.0
312000,1.281703,805.2,8.147871,80.40001217524211,80.40001217524211,1.0
324000,1.2786399,930.4166666666666,8.618402,93.05001417795818,93.05001417795818,1.0
336000,1.2807425,999.0,8.831794,100.00001525878906,100.00001525878906,1.0
348000,1.2805103,938.8461538461538,8.96376,93.90001443716196,93.90001443716196,1.0
360000,1.279283,999.0,9.139935,100.00001525878906,100.00001525878906,1.0
372000,1.2787044,860.0,9.077716,85.94287019968033,85.94287019968033,1.0
384000,1.2784945,999.0,9.426781,100.00001525878906,100.00001525878906,1.0
396000,1.2815268,924.0769230769231,9.2915535,92.42309100811298,92.42309100811298,1.0
408000,1.282088,979.8333333333334,9.659834,97.99168141682942,97.99168141682942,1.0
420000,1.2804018,999.0,9.770871,100.00001525878906,100.00001525878906,1.0
432000,1.2778581,984.1666666666666,9.84397,98.42501576741536,98.42501576741536,1.0
444000,1.2778139,999.0,9.90577,100.00001525878906,100.00001525878906,1.0
456000,1.276879,999.0,9.9450865,100.00001525878906,100.00001525878906,1.0
468000,1.2761893,999.0,9.971902,100.00001525878906,100.00001525878906,1.0
480000,1.2756076,925.6153846153846,9.982357,100.00001525878906,100.00001525878906,1.0
492000,1.2757018,999.0,9.958077,92.57693712527936,92.57693712527936,1.0
